"Row.names","ATM.dist.mean_Nucleus","TVC.dist.min_Nucleus","TVC.dist.max_Nucleus","TVC.dist.mean_Nucleus","TVC.dist.sd_Nucleus","TVC.ATM.dist.min_Nucleus","TVC.ATM.dist.max_Nucleus","TVC.ATM.dist.mean_Nucleus","TVC.ATM.dist.sd_Nucleus","TVC.cosine.min_Nucleus","TVC.cosine.max_Nucleus","TVC.cosine.sd_Nucleus","ATM.Nucleus.Dist.to.Cell.Membrane.min","ATM.Nucleus.Dist.to.Cell.Membrane.max","ATM.Nucleus.Dist.to.Cell.Membrane.mean","ATM.Nucleus.Dist.to.Cell.Membrane.SD","TVC.Nucleus.Dist.to.Cell.Membrane.min","TVC.Nucleus.Dist.to.Cell.Membrane.max","TVC.Nucleus.Dist.to.Cell.Membrane.mean","TVC.Nucleus.Dist.to.Cell.Membrane.SD","ATM.dist.mean_Cell","TVC.dist.min_Cell","TVC.dist.max_Cell","TVC.dist.mean_Cell","TVC.dist.sd_Cell","TVC.ATM.dist.min_Cell","TVC.ATM.dist.max_Cell","TVC.ATM.dist.mean_Cell","TVC.ATM.dist.sd_Cell","TVC.cosine.min_Cell","TVC.cosine.max_Cell","TVC.cosine.sd_Cell","ATM.Cell.Ellipticity..oblate..min","ATM.Cell.Ellipticity..oblate..max","ATM.Cell.Ellipticity..oblate..mean","ATM.Cell.Ellipticity..oblate..SD","ATM.Cell.Ellipticity..prolate..min","ATM.Cell.Ellipticity..prolate..max","ATM.Cell.Ellipticity..prolate..mean","ATM.Cell.Ellipticity..prolate..SD","ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min","ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max","ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean","ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD","ATM.Cell.Sphericity.min","ATM.Cell.Sphericity.max","ATM.Cell.Sphericity.mean","ATM.Cell.Sphericity.SD","ATM.Cell.Volume.frac.min","ATM.Cell.Volume.frac.max","ATM.Cell.Volume.frac.mean","ATM.Cell.Volume.frac.SD","ATM.Nucleus.Ellipticity..oblate..min","ATM.Nucleus.Ellipticity..oblate..max","ATM.Nucleus.Ellipticity..oblate..mean","ATM.Nucleus.Ellipticity..oblate..SD","ATM.Nucleus.Ellipticity..prolate..min","ATM.Nucleus.Ellipticity..prolate..max","ATM.Nucleus.Ellipticity..prolate..mean","ATM.Nucleus.Ellipticity..prolate..SD","ATM.Nucleus.Sphericity.min","ATM.Nucleus.Sphericity.max","ATM.Nucleus.Sphericity.mean","ATM.Nucleus.Sphericity.SD","ATM.Nucleus.Volume.frac.min","ATM.Nucleus.Volume.frac.max","ATM.Nucleus.Volume.frac.mean","ATM.Nucleus.Volume.frac.SD","TVC.Cell.Ellipticity..oblate..min","TVC.Cell.Ellipticity..oblate..max","TVC.Cell.Ellipticity..oblate..mean","TVC.Cell.Ellipticity..oblate..SD","TVC.Cell.Ellipticity..prolate..min","TVC.Cell.Ellipticity..prolate..max","TVC.Cell.Ellipticity..prolate..mean","TVC.Cell.Ellipticity..prolate..SD","TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min","TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max","TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean","TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD","TVC.Cell.Sphericity.min","TVC.Cell.Sphericity.max","TVC.Cell.Sphericity.mean","TVC.Cell.Sphericity.SD","TVC.Cell.Volume.frac.min","TVC.Cell.Volume.frac.max","TVC.Cell.Volume.frac.mean","TVC.Cell.Volume.frac.SD","TVC.Nucleus.Ellipticity..oblate..min","TVC.Nucleus.Ellipticity..oblate..max","TVC.Nucleus.Ellipticity..oblate..mean","TVC.Nucleus.Ellipticity..oblate..SD","TVC.Nucleus.Ellipticity..prolate..min","TVC.Nucleus.Ellipticity..prolate..max","TVC.Nucleus.Ellipticity..prolate..mean","TVC.Nucleus.Ellipticity..prolate..SD","TVC.Nucleus.Sphericity.min","TVC.Nucleus.Sphericity.max","TVC.Nucleus.Sphericity.mean","TVC.Nucleus.Sphericity.SD","TVC.Nucleus.Volume.frac.min","TVC.Nucleus.Volume.frac.max","TVC.Nucleus.Volume.frac.mean","TVC.Nucleus.Volume.frac.SD","nATM","nTVC","ATMgroup.Ellipticity..oblate.","ATMgroup.Ellipticity..prolate.","ATMgroup.Sphericity","TVCgroup.Ellipticity..oblate.","TVCgroup.Ellipticity..prolate.","TVCgroup.Sphericity","TVC.contiguous","ATM.contiguous","TVC.Volume","ATM.Volume","Date","EP.experimentator...Imaging.acquisition","Condition","ID.embryo","Cell.Segmentation","Threshold.nuclei","Threshold.membrane","Surface.Segmentation","Threshold.surface","Merged.cells.to.get.new.surface.information.from.cell.segmentation","Shortest.distance.between.ATM.group.to.TVC.group..from.edge.to.edge..µm","Comment.on.the.distance","Comment.on.the.embryo","Comment.detailed","Details.phenotype","Quality.of.segmentation.based.on.labelling..good..correct..not.good.","Comments","Name","Phenotype","migration.perturbed","division.perturbed","orientation.perturbed"
"ADF.Cofilin.slide1_image1_left.2019_08_29",0.369962875340962,0.0843735285875246,0.185162313996391,0.118997699437267,0.0348828724320395,0.528298372182521,1,0.770411351460828,0.190756781375503,-0.558007955563331,0.925750891965881,0.498176156750453,0.0432728799312028,0.0528650084820209,0.0480689442066119,0.00678265914429659,0.0284987085204189,0.0457638659893868,0.0362591630885013,0.00746519370737623,0.416448273732981,0.0992114037312537,0.188034922027489,0.126395448542096,0.0324302051965737,0.488385468257502,1,0.746829114680653,0.209020390952796,-0.433982410595638,0.877090074048484,0.445417688364579,0.175876,0.211617,0.1937465,0.0252727034663884,0.545339,0.557286,0.5513125,0.00844780471483563,0.0555489,0.064718,0.06013345,0.00648353278737757,0.426083,0.42817,0.4271265,0.00147573185233633,0.363503753769509,0.370205500313591,0.36685462704155,0.00473885042711362,0.362562,0.524268,0.443415,0.114343409158552,0.275499,0.383573,0.329536,0.0764198582699549,0.624089,0.652918,0.6385035,0.020385181394827,0.321379146532213,0.36448295060675,0.342931048569482,0.0304789921560412,0.255692,0.403558,0.34546475,0.0675709827730563,0.293116,0.443711,0.355451,0.0641876017363686,0.0629847,0.110752,0.080851825,0.0215399014414915,0.458284,0.5292,0.49527925,0.0305315862823514,0.0409442247718304,0.0948298412510703,0.0665726864792251,0.027745802031663,0.286474,0.461713,0.37288375,0.0767842532223676,0.224628,0.410991,0.35089225,0.0870228930124137,0.633899,0.643937,0.63894125,0.00488420668242721,0.0465862046601029,0.107516928102208,0.0785344757152592,0.0269954313028953,2,4,0.0704628,0.547122,0.608397,0.546977,0.311161,0.767957,1,1,0.265812505082049,0.734187494917951,"2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image1_left","yes",83.5,23.8,"-","-","yes","21.9","-","look like WT","look like WT","all look like WT","correct","","ADF.Cofilin.slide1_image1_left.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image1_right.2019_08_29",0.368791393852384,0.0843963290447084,0.14792415681684,0.107011374480028,0.0234213669686737,0.571705058488999,1,0.784813649673322,0.185792421475416,-0.223312640995501,0.830984608682025,0.377876579704609,0.0439145809324537,0.0522813320130963,0.048097956472775,0.00591618642562226,0.0263631450817661,0.0403959560080919,0.0356173574578703,0.00628863777907588,0.384032887763941,0.0890643647850465,0.164791972680725,0.115697772383924,0.0261803350499672,0.555331860289381,1,0.775289231554643,0.191417817370397,-0.374765353179426,0.865403197725393,0.402139677371198,0.16321,0.172564,0.167887,0.00661427683121897,0.524218,0.720359,0.6222885,0.138692631168711,0.0614611,0.0674077,0.0644344,0.00420488118500393,0.436922,0.463491,0.4502065,0.0187871200693454,0.312404629690837,0.374065817231274,0.343235223461056,0.0436010438458585,0.466886,0.589829,0.5283575,0.0869338289994177,0.247361,0.273324,0.2603425,0.0183586133599463,0.609955,0.65072,0.6303375,0.0288252079350696,0.316013964799857,0.34693955292238,0.331476758861119,0.021867693073618,0.212824,0.379546,0.289101,0.0688443391717867,0.204541,0.408938,0.289867,0.0986181913475737,0.0571755,0.0880481,0.073979375,0.0127407524098527,0.50668,0.543971,0.52376775,0.0159374210455561,0.0497305274126371,0.117685665910192,0.0783823882694721,0.0306247483772854,0.328163,0.500872,0.44108425,0.0780078187763893,0.278449,0.572153,0.3954155,0.128328255211651,0.618358,0.633066,0.627913,0.0065209070432469,0.0549787208452152,0.112826883208196,0.0842616205694407,0.0275348825203394,2,4,0.0507943,0.675981,0.593671,0.547933,0.307072,0.776984,1,1,0.313735946524337,0.686264053475663,"2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image1_right","yes",83.5,23.8,"-","-","yes","27.1","-","look like WT","look like WT","all look like WT","correct","","ADF.Cofilin.slide1_image1_right.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image10.2019_08_29",0.170236488619062,0.112703666272487,0.459331365610602,0.295322864953904,0.133123796308569,0.573533081859864,1,0.843749075839368,0.149765710553808,-0.742192853195197,0.969442613729626,0.622567480739813,0.0414710741743017,0.0488824826593462,0.045176778416824,0.00524065719791849,0.0274227946469574,0.0409777939482503,0.0349053005063829,0.00604746078707372,0.27581559352814,0.108400367479711,0.426902383146107,0.275097656773249,0.123542008738768,0.491372906695382,1,0.800461275667857,0.17156300222434,-0.787249677709404,0.967264745774724,0.640884155766098,0.257588,0.269855,0.2637215,0.0086740788848154,0.61501,0.628852,0.621931,0.00978777206518421,0.0759496,0.113101,0.0945253,0.0262700068705739,0.485713,0.495214,0.4904635,0.00671822152805338,0.217502363227373,0.400164923739635,0.308833643483504,0.129161935207118,0.30856,0.31443,0.311495,0.00415071680556502,0.337134,0.392112,0.364623,0.038875316616074,0.635668,0.645333,0.6405005,0.00683418704016801,0.266346249039795,0.340425662604719,0.303385955822257,0.0523820556780807,0.255794,0.556451,0.35503825,0.140238690411206,0.301467,0.66999,0.51115525,0.153293676021713,0.075263,0.129158,0.09922355,0.022483887614838,0.497845,0.548061,0.5247575,0.0214059167132205,0.0559659911119266,0.134314960870711,0.0955831782582482,0.0322654887703771,0.324631,0.487943,0.42942175,0.0720460314029626,0.272178,0.511497,0.3612965,0.104121392917114,0.611269,0.643891,0.63127875,0.0140149954067064,0.0771508051269711,0.113302389980192,0.0983070220888714,0.0152534282701313,2,4,0.124597,0.708388,0.680767,0.122689,0.744407,0.583682,1,1,0.381356533929966,0.618643466070034,"2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image10","yes",104,25,"-","-","yes","13.2","-","problem disposition TVC","problem disposition TVC","the TVC-FHP pairs are separated in the trunk","good","","ADF.Cofilin.slide1_image10.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image11.2019_08_29",0.310812510240237,0.118213113639063,0.118213113639063,0.118213113639063,0,0.801865948656397,1,0.906494009445853,0.0812726340481153,0,0,0,0.061959155003352,0.0662087316338394,0.0640839433185957,0.00300490445258953,0.0578981601635684,0.0604734418369091,0.0591858010002387,0.00182099913468463,0.385017904657053,0.155634547706757,0.155634547706757,0.155634547706757,0,0.700268903469404,1,0.858814559253281,0.124182011654461,0,0,0,0.292873,0.360284,0.3265785,0.0476667752265664,0.475737,0.477462,0.4765995,0.00121975919754678,0.040831,0.044207,0.042519,0.00238719249328579,0.409427,0.41511,0.4122685,0.00401848783748314,0.311619491984913,0.379786982226066,0.345703237105489,0.0482016946059866,0.283069,0.335332,0.3092005,0.0369555217051525,0.244485,0.345777,0.295131,0.0716242600799478,0.651726,0.661114,0.65642,0.00663831846177927,0.271131143073875,0.356606812761118,0.313868977917496,0.0604404256623106,0.405046,0.49939,0.452218,0.0667112821642636,0.289384,0.361215,0.3252995,0.0507921871994109,0.0506433,0.0660638,0.05835355,0.0109039401192872,0.501485,0.51793,0.5097075,0.0116283710166128,0.138685927098834,0.169907598690187,0.154296762894511,0.0220770557022249,0.288026,0.388144,0.338085,0.0707941167188348,0.314425,0.344345,0.329385,0.0211566348931015,0.617688,0.64237,0.630029,0.0174528095732464,0.181645924537155,0.190616119627852,0.186131022082503,0.00634288577719753,2,2,0.164705,0.494711,0.597887,0.403254,0.44891,0.803429,1,1,0.309305203088156,0.690694796911844,"2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image11","yes",103,25.5,"-","-","yes","29.7","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","not good","","ADF.Cofilin.slide1_image11.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide1_image12_left.2019_08_29",0,0.105004226389528,0.757783391455707,0.36517146417696,0.211415492764416,0.567425241788825,1,0.820614448531109,0.155280192333819,-0.985439251907557,0.998515277619209,0.77272424250659,0.0495664908022464,0.0495664908022464,0.0495664908022464,0,0.036738532395148,0.0584443585283709,0.0489411187484188,0.00966049098138583,0,0.126666994665277,0.7575596571477,0.359694001405333,0.198345519382384,0.505364093198935,1,0.799411276294052,0.173539384078592,-0.963516033577231,0.997239119082327,0.739120993928858,0.148952,0.148952,0.148952,0,0.618874,0.618874,0.618874,0,0.0754888,0.0754888,0.0754888,0,0.489584,0.489584,0.489584,0,0.341662240377478,0.341662240377478,0.341662240377478,0,0.483592,0.483592,0.483592,0,0.34702,0.34702,0.34702,0,0.64184,0.64184,0.64184,0,0.387105079186761,0.387105079186761,0.387105079186761,0,0.22312,0.448897,0.3533115,0.0955934305415388,0.313062,0.460932,0.412808166666667,0.0618111348493673,0.0402762,0.118867,0.0729093666666667,0.0313120611809358,0.448466,0.556216,0.5054635,0.0422980637701066,0.0408778188759997,0.166697586959005,0.109722959937087,0.052732669752249,0.339997,0.530781,0.405803166666667,0.0676291217225735,0.219008,0.500817,0.421905,0.105321669618365,0.61949,0.649157,0.638855833333333,0.0117242859640435,0.067614935245043,0.145174235963587,0.102149153468873,0.0316533497935175,1,6,0.146782,0.605913,0.710838,0.187203,0.630756,0.571016,1,1,0.652039146163064,0.347960853836936,"2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image12_left","yes",95.8,16.7,"-","-","yes","0","groups connected","problem migration and division","enhanced ATM migration / enhanced ATM division","one of the ATM migrated in the trunk but not completely because still attached to the other ATM; the ATM that migrated also divided","good","","ADF.Cofilin.slide1_image12_left.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image13.2019_08_29",0.504088970713535,0.111651686070548,0.111651686070548,0.111651686070548,0,0.411671145436364,1,0.706122818093714,0.294060157240163,0,0,0,0.0646345847693137,0.0682522180680826,0.0664434014186982,0.00255805303740575,0.0544398577473506,0.0597460289202278,0.0570929433337892,0.00375202961847804,0.485124529936196,0.160195852780813,0.160195852780813,0.160195852780813,0,0.387773770705371,1,0.6949246366785,0.288527421132737,0,0,0,0.255931,0.374784,0.3153575,0.0840417622643647,0.445457,0.582297,0.513877,0.0967604919375671,0.0629889,0.0719577,0.0674733,0.00634189929910591,0.489793,0.494365,0.492079,0.00323289220358491,0.279124394700998,0.33870472072631,0.308914557713654,0.0421296525578037,0.274574,0.336161,0.3053675,0.0435485853329359,0.480595,0.529483,0.505039,0.034569036318648,0.616475,0.646996,0.6317355,0.0215816060685946,0.274428953380559,0.293959621001396,0.284194287190977,0.0138102675157941,0.18869,0.38177,0.28523,0.136528177311499,0.340479,0.502803,0.421641,0.114780401149325,0.0717213,0.102017,0.08686915,0.0214222949107933,0.461869,0.556115,0.508992,0.0666419856997074,0.151768030518218,0.230402854054473,0.191085442286346,0.0556032169598934,0.300312,0.369677,0.3349945,0.0490484618770048,0.434472,0.456605,0.4455385,0.0156503943880018,0.650169,0.657594,0.6538815,0.00525026785031013,0.205778408211542,0.225833017406503,0.215805712809023,0.0141807501558035,2,2,0.0835389,0.593937,0.655343,0.400756,0.459718,0.819252,1,1,0.381269743207171,0.618730256792829,"2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image13","yes",114,26.6,"-","-","yes","0","groups connected","problem migration and division","inhibited TVC migration / inhibited TVC division","the migration was not done completely because the TVCs are still attached to the ATM, and the 2 TVCs didn't divide in the trunk","good","","ADF.Cofilin.slide1_image13.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image14_left.2019_08_29",0.231111213427978,0.10579823183337,0.203165202526487,0.129078053169558,0.0389673328055457,0.631410772509687,1,0.812705704735211,0.134433530836717,-0.816943064307823,0.953836638492683,0.533702369785358,0.0450060083754989,0.0546123110131362,0.0498091596943176,0.00679268173720361,0.023550353317088,0.0348641422964602,0.0284066549083558,0.00533557223185574,0.305813311357994,0.0922079379396905,0.197205134502105,0.135386545679937,0.0352525783458319,0.57025785790511,1,0.774820900554245,0.169737387962576,-0.76400441840437,0.953408064975383,0.480779373176356,0.134568,0.40877,0.271669,0.193890093614914,0.466945,0.703822,0.5853835,0.167497333007126,0.116093,0.118636,0.1173645,0.00179817254455739,0.382985,0.423749,0.403367,0.0288245008282884,0.357503588282737,0.391376814629863,0.3744402014563,0.0239519880507197,0.375622,0.501611,0.4386165,0.0890876762549119,0.348065,0.503626,0.4258455,0.109998237988161,0.58691,0.597748,0.592329,0.00766362329449973,0.373305184180197,0.400825092684771,0.387065138432484,0.0194595139212173,0.327758,0.545892,0.42817425,0.0938221754966099,0.288134,0.583073,0.389748,0.132092894714288,0.095159,0.107755,0.1010849,0.00592907678367102,0.325865,0.416956,0.37212425,0.0384003521891401,0.0542689888180609,0.0808460741604191,0.0627798992718501,0.0124387969309908,0.316522,0.557928,0.39564125,0.112090330000332,0.286526,0.551003,0.35644175,0.129768763623031,0.608057,0.655185,0.63252,0.0238365471073308,0.0473074763712901,0.0691649840980244,0.056467430783758,0.00932128947986997,2,4,0.127116,0.600558,0.641583,0.690563,0.156772,0.527302,1,1,0.251584571972588,0.748415428027412,"2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image14_left","yes",82.1,13.5,"-","-","yes","26.6","-","look like WT","look like WT","all look like WT","correct","","ADF.Cofilin.slide1_image14_left.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image14_right.2019_08_29",0.384426191989301,0.0669450863557722,0.0669450863557722,0.0669450863557722,0,0.451069766697887,1,0.703237272753173,0.246510730032777,0,0,0,0.034718414362662,0.0503632781725891,0.0402307061507518,0.00878639192083764,0.0248479765353475,0.0337909093207679,0.0293194429280577,0.00632360841626625,0.39783011518916,0.0634710854371897,0.0634710854371897,0.0634710854371897,0,0.426924870944912,1,0.696378798730835,0.253786932654978,0,0,0,0.205366,0.371742,0.274489333333333,0.0866815314200974,0.512506,0.579623,0.556640333333333,0.0382324165379764,0.0885986,0.108022,0.0980022333333333,0.00972634731558222,0.459086,0.472123,0.466154,0.0065876166403336,0.255546497821779,0.296419794313053,0.273566659100367,0.0208608441656048,0.341826,0.512296,0.407675666666667,0.0916099267019319,0.313358,0.507125,0.416415666666667,0.097471911719907,0.630653,0.654813,0.641373666666667,0.0123073052019251,0.277707673163903,0.290109200537997,0.28291489986096,0.00643512374038251,0.239992,0.443821,0.3419065,0.144128868102473,0.406018,0.753466,0.579742,0.245682836909704,0.070784,0.0823263,0.07655515,0.00816163860048949,0.466865,0.493668,0.4802665,0.018952583056143,0.0651774879302969,0.114122534768602,0.0896500113494496,0.0346093745248588,0.349561,0.597717,0.473639,0.175472790392129,0.269833,0.414697,0.342265,0.102434316749808,0.567866,0.649514,0.60869,0.0577338544703193,0.0501718600842374,0.101083440332883,0.0756276502085602,0.0359999236347404,3,2,0.0741476,0.587786,0.555145,0.516899,0.283089,0.815108,1,1,0.17929528983515,0.82070471016485,"2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image14_right","yes",91.3,29,"-","-","yes","22.8","-","problem migration and division","inhibited TVC migration / inhibited TVC division","one of the TVC didn't migrate and didn't divide in the tail","good","ambiguous phenotype","ADF.Cofilin.slide1_image14_right.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image15.2019_08_29",0.291225963515104,0.119628275518016,0.357923818093835,0.206269811884873,0.0815747279782271,0.702329607214755,1,0.854849675232092,0.103806981927066,-0.917122336329884,0.982262407081383,0.633864414008005,0.0592873437258457,0.08427358735533,0.0717804655405878,0.0176679423067876,0.0297437305239019,0.0559092525597688,0.0446951034327051,0.0110986274153387,0.379367054301732,0.14809668915009,0.357190461255887,0.213686434137714,0.0743209344007023,0.620238771184427,1,0.821243244055539,0.121960099131232,-0.867209239555127,0.970410337853007,0.598551903028584,0.318861,0.404209,0.361535,0.0603501495607094,0.472696,0.537466,0.505081,0.0457993062174527,0.0611432,0.0707524,0.0659478,0.00679473048177777,0.362716,0.466561,0.4146385,0.073429503692317,0.288126646549825,0.342459717358294,0.31529318195406,0.038419282811357,0.311097,0.509208,0.4101525,0.140085631527648,0.228001,0.249061,0.238531,0.0148916688117887,0.660704,0.665228,0.662966,0.003198951078088,0.36322520547864,0.376464569979269,0.369844887728955,0.00936164441699487,0.199997,0.472812,0.3592585,0.116091883094096,0.231751,0.4458,0.3649045,0.0998252595037949,0.0235025,0.0808689,0.0479261,0.0256058977003346,0.403748,0.520219,0.45966925,0.0550306908756377,0.0475644068046652,0.140974687616548,0.0923534090229701,0.0506212702096137,0.286475,0.668076,0.53485725,0.175227828768483,0.213385,0.505342,0.29385975,0.141631044655647,0.581652,0.638412,0.610852,0.0255793965136006,0.0471637392754975,0.0846832958845513,0.0650775561355227,0.016318736626605,2,4,0.14261,0.621627,0.617488,0.342784,0.460536,0.600003,1,1,0.368740848811229,0.631259151188771,"2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image15","yes",104,19.2,"-","-","yes","21.2","-","look like WT","look like WT","all look like WT","correct","","ADF.Cofilin.slide1_image15.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image16.2019_08_29",0.174583299527054,0.101184684234072,0.203231942450628,0.132568667117982,0.0366337788950643,0.7246128321993,1,0.859969091769914,0.0977128609853052,-0.748750979653945,0.943974278401061,0.493430958292915,0.0462755655483304,0.0527543188389424,0.0495149421936364,0.00458117038542641,0.0326619246852304,0.044778644669218,0.0386403584036245,0.00510612436792381,0.263167110051858,0.116284591758681,0.21554475304275,0.143748536554205,0.0367949026366729,0.662437107301952,1,0.835960746175284,0.122737894255343,-0.707782993773401,0.924528449843027,0.473724537742383,0.277558,0.44801,0.362784,0.120527765066809,0.285791,0.481913,0.383852,0.138679196139868,0.0636864,0.079753,0.0717197,0.0113608018106118,0.373148,0.452529,0.4128385,0.0561308433973694,0.321999803516115,0.372947719899201,0.347473761707658,0.0360256171618059,0.361554,0.603498,0.482526,0.171080243067398,0.249734,0.391657,0.3206955,0.100354715706338,0.614147,0.659789,0.636968,0.0322737677069164,0.315465365447109,0.336007548995353,0.325736457221231,0.0145255172873418,0.343578,0.465002,0.4139205,0.0569658551151477,0.304089,0.53653,0.3911635,0.104309074576472,0.0699112,0.121695,0.095882025,0.0218784495919882,0.409228,0.542397,0.49674175,0.0605295997914794,0.0368232698469438,0.113371793672982,0.076263119146171,0.0373339176312649,0.356491,0.538224,0.45471025,0.0918407470076146,0.260576,0.491811,0.38909125,0.11286815361998,0.616521,0.633804,0.62518075,0.00756771164773961,0.0564405460179108,0.118295854097572,0.0871317713893845,0.0291221637634763,2,4,0.266744,0.300183,0.629944,0.578438,0.252998,0.641217,1,1,0.304645243871582,0.695354756128418,"2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image16","yes",100,30.5,"-","-","yes","37.9","-","look like WT","look like WT","all look like WT","correct","","ADF.Cofilin.slide1_image16.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image17_left.2019_08_29",0.237525829326481,0.0658000433489645,0.137594303369275,0.0914395229751511,0.0250710698999751,0.682636670877351,1,0.852399211455032,0.117932873987007,-0.651107552468633,0.931804582533602,0.463082310324085,0.0336035353970117,0.0338296743527415,0.0337166048748766,0.000159904389086997,0.0222356976642607,0.0390391659675327,0.0277519203094301,0.00764768117927903,0.264152656342704,0.0774205220609153,0.145728358320694,0.0980388410116529,0.024258813792986,0.661077948070766,1,0.837846051663687,0.127444067307777,-0.53339319793331,0.893340402214578,0.441004529030737,0.243066,0.243544,0.243305,0.000337997041407174,0.532576,0.570085,0.5513305,0.0265228682555261,0.07189,0.0791528,0.0755214,0.00513557513040166,0.42415,0.437484,0.430817,0.00942856182034139,0.34759147287158,0.348220274488255,0.347905873679917,0.000444629887171329,0.370601,0.465624,0.4181125,0.0671914076686893,0.267493,0.323775,0.295634,0.0397973838587413,0.63592,0.647133,0.6415265,0.0079287883374447,0.31252162714163,0.342396902230442,0.327459264686036,0.0211250096051125,0.257191,0.444506,0.36343225,0.0815360158391166,0.225121,0.389667,0.329245,0.0767460508734271,0.0719466,0.111544,0.09962515,0.0187406823556846,0.345144,0.554694,0.48775425,0.0984738062037312,0.0418663662001022,0.126975168058236,0.0760470631600413,0.0405817574508734,0.321745,0.501305,0.4352805,0.0804569669222829,0.356602,0.414936,0.3870595,0.0271010189045849,0.593607,0.654959,0.6165415,0.0287463455822359,0.0559692933997146,0.114478756488564,0.0862703676569822,0.0324890937397005,2,4,0.089646,0.594639,0.624143,0.60638,0.260318,0.671277,1,1,0.302734196728294,0.697265803271706,"2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image17_left","yes",77.6,17.5,"-","-","yes","53.3","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide1_image17_left.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image17_right.2019_08_29",0.321660112266505,0.0652088991891937,0.185053505665175,0.111007366620925,0.0426115783297962,0.600772963497918,1,0.814324296583473,0.149291044689437,-0.757400907268358,0.973170379150889,0.6138210748295,0.0376634942057114,0.0390636116476346,0.038363552926673,0.000990032537641436,0.0308284402380482,0.0408658365652092,0.0340969486482019,0.00457957323660382,0.357295398546677,0.0829578089777687,0.187133199347196,0.113574567281466,0.0386993801785622,0.569834608900118,1,0.798334755386755,0.161083247352791,-0.712041522809309,0.947979772061936,0.55774554042591,0.0785493,0.213274,0.14591165,0.0952647489633233,0.713975,0.873687,0.793831,0.112933438236866,0.0718788,0.0747458,0.0733123,0.00202727514166183,0.449685,0.482317,0.466001,0.0230743084836794,0.357565348209723,0.359505674151038,0.358535511180381,0.00137201763081624,0.445811,0.54681,0.4963105,0.0714170777930601,0.258818,0.263398,0.261108,0.00323854905783441,0.655723,0.662565,0.659144,0.00483802459687837,0.31303050772499,0.322896088147884,0.317963297936437,0.00697601881736946,0.291071,0.471004,0.35646875,0.0788849693303483,0.253849,0.460188,0.36489875,0.0849517126347864,0.071869,0.140521,0.11161875,0.0295811165709365,0.528988,0.571847,0.545106,0.0196149768459375,0.0406997032722629,0.0930115209184115,0.0707322444098097,0.0243926497204141,0.399108,0.514917,0.44875525,0.0483401817978584,0.231303,0.479611,0.388264,0.108286912644142,0.610203,0.642915,0.6273315,0.0172289798014856,0.0533299173183525,0.12756277324188,0.0910183510317815,0.0372329232142438,2,4,0.0425279,0.781634,0.607555,0.389756,0.384955,0.738131,1,1,0.282724106229525,0.717275893770475,"2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image17_right","yes",81.4,26.3,"-","-","yes","37.4","-","look like WT","look like WT","all look like WT","good","","ADF.Cofilin.slide1_image17_right.2019_08_29","WT",FALSE,FALSE,FALSE
